Establishment,License Number,Municipality,VGT Count,Amount Played,Amount Won,Net Wager,Funds In,Funds Out,NTI,NTI Tax Rate (30%),State Share,Municipality Share
"Variety Liquors, Inc.",120708465,Decatur,5,5409464.74,4910116.47,499348.27,1660026,1160677.2,499348.8,149805.19,124837.66,24967.53
"Varsity Club, Inc.",170700342,Monmouth,5,2124706.03,1968178.79,156527.24,694237,537709.77,156527.23,46958.49,39132.1,7826.39
"Vash, Inc.",130702977,Lake Villa,5,4034708.87,3705707.39,329001.48,1366435,1037433.42,329001.58,98701.27,82251.09,16450.18
Vedanta Inc.,130705877,Taylorville,5,6622300.35,6127507.01,494793.34,1971737,1476943.66,494793.34,148438.7,123698.95,24739.75
"Vegas Slots & Gaming, Inc.",170702206,Sterling,5,4742848.19,4315672.41,427175.78,1646059,1218882.21,427176.79,128153.26,106794.41,21358.85
"Vegas Slots & Gaming, Inc.",160702324,Sterling,5,9066358.51,8328426.74,737931.77,2785914,2047980.23,737933.77,221380.58,184483.83,36896.75
VENICE SOCIAL CLUB,120705007,Pontoon Beach,5,2119247.56,1971694.2,147553.36,557413,409859.64,147553.36,44266.68,36888.94,7377.74
"Venus, Inc.",120700520,Rockford,5,5844198.32,5384303.48,459894.84,1870334,1410439.16,459894.84,137968.91,114974.13,22994.78
"VENUS, INC.",160700540,McHenry,5,5368784.21,4951809.2,416975.01,1736003,1319027.95,416975.05,125093.18,104244.32,20848.86
"VERNON MORRIS II & PHILIP EUGENE OVERTURF POST 5764 WEST FRANKFORT, IL",120908478,West Frankfort,3,1043372.32,959043.43,84328.89,347283,262953.81,84329.19,25298.98,21082.5,4216.48
Veterans Inn Incorporated,120704250,Dowell,5,3233022.12,3000568.57,232453.55,1038105,805651.35,232453.65,69736.62,58113.83,11622.79
VETERANS OF FOREIGN WAR DEPT. OF ILL LEMONT 22 HONOR POST 5819,120902218,Lemont,5,3059842.18,2830315.51,229526.67,971580,742053.31,229526.69,68858.63,57382.21,11476.42
VETERANS OF FOREIGN WARS ALBERT TUNBERG POST #2608,120902217,Dwight,4,1323501,1225019.57,98481.43,402053,303551.32,98501.68,29551,24625.85,4925.15
Veterans of Foreign Wars Department of Illinois 1461 John Hugo Kaiser,120900507,Boone County,5,3277085.54,3032730.39,244355.15,1035421,791065.85,244355.15,73306.93,61089.14,12217.79
Veterans of Foreign Wars Department of Illinois Goldsmith-Terry Post 3523,120905906,Carlyle,5,1905567.46,1727947.06,177620.4,652313,474692.6,177620.4,53286.86,44405.76,8881.1
Veterans of Foreign Wars Morgan County Post #1379,120900711,Jacksonville,5,3434283.36,3160826.11,273457.25,1042853,769395.55,273457.45,82037.48,68364.56,13672.92
VETERANS OF FOREIGN WARS OF THE UNITED STATES HAVANA POST NO. 6408,120902184,Havana,5,2888732.54,2651961.2,236771.34,856452,619680.81,236771.19,71031.83,59193.19,11838.64
"Veterans of Foreign Wars of the United States, La Fore Lock Post No. 755",120902142,Springfield,5,3183412.51,2901969.87,281442.64,997696,716253.36,281442.64,84433.58,70361.34,14072.24
Veterans of Foreign Wars Post 8078,120908731,Kewanee,4,565568.56,504565.17,61003.39,218837,157813.61,61023.39,18307.43,15256.23,3051.2
"VETERANS OF FOREIGN WARS, CASEY POST #5762",120901320,Casey,4,752676.9,694440.01,58236.89,229247,171010.21,58236.79,17471.34,14559.46,2911.88
"Veterans of Foreign Wars, Jackson County Post #7190",120905400,Murphysboro,5,1593616.42,1490285.88,103330.54,472598,369267.46,103330.54,30999.84,25833.23,5166.61
"Veterans of Foreign Wars, Post 1984, Inc.",130900124,Canton,5,4543814.34,4214428.08,329386.26,1305397,975787.24,329609.76,98883.59,82403.01,16480.58
VFW Post 7676 Gieseking-Schwerdtfeger,120902193,Altamont,5,833286.7,769261.25,64025.45,219414,155388.55,64025.45,19208.04,16006.72,3201.32
Vic & Jim's Tap Inc.,130701183,Loves Park,4,1664049.74,1526971.63,137078.11,527137,390058.89,137078.11,41123.9,34269.94,6853.96
Vic's Corner LLC,160701193,Rushville,3,1470903.56,1352664.38,118239.18,338495,220255.82,118239.18,35472.27,29560.26,5912.01
Vicky Gendreau,120711281,Savanna,5,726554.64,669159.75,57394.89,192667,135272.03,57394.97,17218.77,14348.99,2869.78
"Victoria Restaurant, Inc.",130706362,Northlake,4,1006274.51,922041.53,84232.98,329059,244826.02,84232.98,25270.23,21058.53,4211.7
Victory Lanes Inc.,120704195,Dwight,3,446399.62,411368.02,35031.6,141029,105997.44,35031.56,10509.69,8758.09,1751.6
"VICTORY SLOTS & BAR, INC.",160703855,South Beloit,5,7775060.07,7175377.43,599682.64,2441457,1841774.47,599682.53,179905.17,149920.99,29984.18
"VICTORY TAVERN, INC.",120704046,Abingdon,5,4285268.45,3973981.36,311287.09,1054961,743673.75,311287.25,93386.85,77822.4,15564.45
"Video Wonders, Inc.",120700203,Harvard,5,1863960.2,1708512.06,155448.14,644485,489037.03,155447.97,46635.02,38862.54,7772.48
VIDHI 3 LLC,180701450,Urbana,5,135627.06,122797.49,12829.57,48850,36020.16,12829.84,3849.01,3207.51,641.5
Viking Inn Hanover LLC,160701378,Hanover,3,792239.17,718085.67,74153.5,224534,150380.61,74153.39,22246.46,18538.72,3707.74
"Viking Lanes, Inc.",120700763,South Beloit,5,2277815.75,2100427.69,177388.06,811630,634241.98,177388.02,53216.99,44347.52,8869.47
"VILLA BLEU, INC.",140701597,Fox River Grove,3,1056542.78,969887.28,86655.5,337397,250741.5,86655.5,25997.16,21664.32,4332.84
VILLA NAPOLI L.T.D.,150702015,Norridge,5,4683008.06,4305800.03,377208.03,1635798,1258589.97,377208.03,113163.19,94302.68,18860.51
"VILLA NOVA PIZZA, LLC",170700857,Lockport,5,388714.13,356071.99,32642.14,142023,109380.86,32642.14,9793.25,8161.07,1632.18
"Villa Nueva Mexican Bar & Grill, LLC",170703214,Minooka,4,84447.39,73878.53,10568.86,31200,20631.08,10568.92,3170.76,2642.3,528.46
"Villa Park Post No. 2801, Veterans of Foreign Wars of the United State, Inc.",130900531,Villa Park,5,2874724.04,2646191.53,228532.51,815324,586791.3,228532.7,68560.52,57133.79,11426.73
"VILLAGE GARDEN RESTAURANT, INC.",120707907,Salem,5,2387029.73,2230820.14,156209.59,702340,546130.48,156209.52,46863.42,39052.89,7810.53
"VILLAGE II, INC.",120703519,Champaign,4,378811.97,351009.74,27802.23,136926,109123.7,27802.3,8341.08,6950.9,1390.18
Village of Cahokia,130703812,Cahokia,3,507669.16,474744.84,32924.32,143872,110947.73,32924.27,9877.71,8231.45,1646.26
Village of Glenwood,130705973,Glenwood,3,711795.69,639828.28,71967.41,263740,191772.59,71967.41,21590.58,17992.18,3598.4
"Village of Moweaqua, IL",150700118,Moweaqua,3,512261.46,472589.03,39672.43,180030,140357.57,39672.43,11902.12,9918.43,1983.69
Village of Worth,130701685,Worth,3,130435.04,119365.01,11070.03,38388,27317.87,11070.13,3321.01,2767.52,553.49
"Village Pizza and Pub, LLC",130705517,Carpentersville,4,2702931.14,2471261.85,231669.29,823923,592253.71,231669.29,69501.22,57917.7,11583.52
"VILLAGE PIZZA AND PUB, LLC",160703417,Elgin,5,1444086.73,1331667.71,112419.02,470314,357894.98,112419.02,33726.26,28105.22,5621.04
Village Sportsmens Club,140703011,Alsip,5,3444127.1,3167325.1,276802,1137777,860975,276802,83041.37,69201.16,13840.21
"Village Squire of McHenry, Inc.",130702401,McHenry,5,5422752.46,4970799.46,451953,1764185,1312231.93,451953.07,135586.4,112988.72,22597.68
"Village Squire South, Inc.",120706654,South Elgin,5,2114113.5,1949200.43,164913.07,663136,498222.77,164913.23,49474.48,41228.77,8245.71
"Village XIII,Inc.",140702784,Effingham,5,1028611.88,948167.54,80444.34,354614,274169.81,80444.19,24133.86,20111.57,4022.29
"Vincint Von Hart, LLC",140701035,Belleville,5,2460306.04,2261025.66,199280.38,841497,642216.23,199280.77,59784.98,49820.85,9964.13
"Vinny's Gambling Cafe Group, Inc.",140704307,Berwyn,5,3056922.52,2814033.44,242889.08,947157,704267.92,242889.08,72867.42,60722.87,12144.55
"VINO'S BAR & GRILL, INC.",130706236,Gardner,4,72048.46,67884.48,4163.98,20452,16287.97,4164.03,1249.23,1041.03,208.2
VIP 3 Inc.,160703384,Hanover Park,5,2801159.8,2576326.85,224832.95,916160,691327.05,224832.95,67450.17,56208.48,11241.69
VIP BAR AND GRILL DANCE CLUB LLC,160702670,Country Club Hills,3,233612.45,214760.92,18851.53,89698,70846.47,18851.53,5655.57,4713,942.57
VIRBAI INC.,150701141,Round Lake,5,5931624.47,5475849.38,455775.09,1805875,1350099.91,455775.09,136733.12,113944.28,22788.84
"VIRBAPA, INC.",130704560,Dwight,4,997565.65,915418.7,82146.95,315310,233162.86,82147.14,24644.69,20537.25,4107.44
VIRGINIA D. BRZENK,140702864,McHenry County,5,535014.19,488451.22,46562.97,184011,137447.98,46563.02,13969.24,11641.05,2328.19
Virginia Murphy,120712565,La Salle County,4,1373231.97,1273282.27,99949.7,401248,301297.55,99950.45,29985.65,24988.06,4997.59
"Visionquest Unlimited, Inc.",120702296,Mount Morris,4,121863.87,112656.73,9207.14,42562,33354.86,9207.14,2762.34,2301.94,460.4
"VITALE FAMILY, INC.",130706451,Paris,3,85050.8,80652.96,4397.84,29020,24622.16,4397.84,1319.37,1099.48,219.89
VITO AND NICKS II HICKORY HILLS INC.,120707120,Hickory Hills,5,1457254.09,1338992.39,118261.7,445842,327499.82,118342.18,35503.31,29586.12,5917.19
"Vito's Ristorante,Inc.",160700520,Roscoe,4,375206.65,352002.2,23204.45,165923,142718.55,23204.45,6961.81,5801.48,1160.33
Vivian A. Nelson,130700846,Ava,4,1667678.86,1519850.35,147828.51,378463,230634.42,147828.58,44349.13,36957.64,7391.49
Vlleznit Corporation,130702841,Pontiac,4,1872418.54,1740464.77,131953.77,405654,273696.23,131957.77,39587.85,32989.91,6597.94
VLWilliams Enterprise Corporation,150703013,Collinsville,5,186787.88,167545.77,19242.11,59857,40614.86,19242.14,5772.78,4810.64,962.14
VMR Consulting LLC,150700520,Sandwich,5,1185269.6,1085964.31,99305.29,394183,294877.71,99305.29,29791.88,24826.59,4965.29
VMR Consulting LLC,170701566,Sandwich,5,4940236.46,4527691.86,412544.6,1335539,922994.4,412544.6,123764.03,103136.74,20627.29
VonFalc's Gridiron Grill Inc. ,120705514,Breese,5,818639.81,745092.33,73547.48,280559,207011.46,73547.54,22064.54,18387.12,3677.42
"Votaw-Swank Post No. 458, American Legion",160902856,Neoga,4,1032865.37,949888.82,82976.55,279504,196527.25,82976.75,24893.43,20744.53,4148.9
"VOUNO, INC.",160703244,Summit,5,641652.33,583573.92,58078.41,273309,215230.59,58078.41,17423.92,14519.93,2903.99
"VPEN, INC.",120705002,Merrionette Park,5,4984328.33,4561369.58,422958.75,1684355,1261396.05,422958.95,126888,105740,21148
"Vrina, Inc.",130706318,Northlake,5,3470855.35,3212376.11,258479.24,1012738,754258.76,258479.24,77544.16,64620.15,12924.01
"VS PUB, INC.",120711525,Round Lake Beach,5,2019703.95,1841588.55,178115.4,713373,535257.6,178115.4,53435.44,44529.56,8905.88
Vuelve A La Vida Restaurant Inc.,150700432,Melrose Park,4,1406229.25,1294203.02,112026.23,444017,332009.17,112007.83,33602.85,28002.41,5600.44
"VVH Golf Management, LLC",140700081,Alton,2,41726.05,37984.02,3742.03,12475,8733.21,3741.79,1122.58,935.46,187.12
"VYV Development, Corp.",120704835,Coal Valley,4,805361.72,735725.08,69636.64,256547,186910.04,69636.96,20891.33,17409.46,3481.87
"W. M. Clasen's, Inc.",130703228,Union,4,1036577.66,944825.04,91752.62,343067,251314.49,91752.51,27526.11,22938.44,4587.67
"W. T. Funderburk, Inc.",120701168,Pocahontas,3,313544.98,277247.49,36297.49,107161,70863.58,36297.42,10889.55,9074.63,1814.92
"W.E. BANQUETS, LLC",160702245,Niles,5,1027830.72,936531.23,91299.49,391617,300317.49,91299.51,27390.25,22825.22,4565.03
W.P.S. Inc.,130703152,Carbondale,5,1842354.29,1715198.7,127155.59,735934,608778.56,127155.44,38147.14,31789.31,6357.83
"Wa-Pa-Ghetti's, Inc.",160701396,Wheeling,3,1347285.53,1221886.4,125399.13,443538,318138.87,125399.13,37620.27,31350.24,6270.03
WABB ENTERPRISES OF ILLINOIS LLC,130705636,West City,5,5625563.18,5176517.54,449045.64,1414792,965746.36,449045.64,134714.24,112261.92,22452.32
WABB Enterprises of Illinois LLC,130700063,Olney,5,6505289.82,6001417.77,503872.05,1838170,1334297.95,503872.05,151162.17,125968.49,25193.68
WABB ENTERPRISES OF ILLINOIS LLC,120705898,Du Quoin,5,2477996.25,2285768.25,192228,776354,584126,192228,57668.84,48057.42,9611.42
WABB ENTERPRISES OF ILLINOIS LLC,120711434,Eldorado,5,3688364.12,3425245.35,263118.77,1314878,1051758.63,263119.37,78936.33,65780.3,13156.03
WABB Enterprises of Illinois LLC,130700067,Salem,5,3342216.3,3095454.82,246761.48,922737,675975.52,246761.48,74029.19,61691.01,12338.18
WABB ENTERPRISES OF ILLINOIS LLC,130705247,Murphysboro,5,4166875,3873499.86,293375.14,1143729,850354.01,293374.99,88013.2,73344.33,14668.87
WABB ENTERPRISES OF ILLINOIS LLC,120711437,Herrin,5,3704767.31,3420522.28,284245.03,1136083,851837.97,284245.03,85273.85,71061.56,14212.29
WABB ENTERPRISES OF ILLINOIS LLC,120705901,Harrisburg,5,4498609.73,4151443.19,347166.54,1163341,816174.46,347166.54,104150.64,86792.2,17358.44
WABB ENTERPRISES OF ILLINOIS LLC,120706997,Carmi,5,4678659.58,4312237.3,366422.28,1370776,1004353.72,366422.28,109927.11,91605.96,18321.15
WACHTER INVESTMENTS CORP.,150701634,Mount Sterling,3,788077.92,721047.33,67030.59,198938,131907.68,67030.32,20109.57,16758.02,3351.55
"Wagon Wheel Tavern, Inc.",130703949,Waverly,5,3356021.46,3071224.5,284796.96,1197228,912431.04,284796.96,85439.8,71199.84,14239.96
"Wagoner Lanes, Inc.",120700581,Hoopeston,5,3367037.55,3096139.59,270897.96,984235,713337.04,270897.96,81270.01,67725.03,13544.98
"WAIDLEY POST NO: 468, VETERANS OF FOREIGN WARS OF THE UNITED STATES, INC.",120911790,Aurora,4,1524363.53,1396593.78,127769.75,368041,240271.25,127769.75,38331.33,31942.79,6388.54
"Walby's Place, Inc.",150702014,Ashland,5,1833705.57,1670271.74,163433.83,611016,447582.17,163433.83,49030.84,40859.06,8171.78
"WALDO COONEY, INC.",150703552,Worth,3,563040.11,518534.09,44506.02,199928,155422,44506,13352.11,11126.78,2225.33
"Walker Danforth Post No. 9016, Veterans of Foreign Wars of the United States, Inc.",150903344,Washington,3,221301.16,203278.3,18022.86,70216,52193.14,18022.86,5407.17,4505.97,901.2
Wallace & Jager Inc.,140703474,Will County,5,2371687,2178150.86,193536.14,646793,453256.86,193536.14,58061.26,48384.41,9676.85
"Wallace Trading Post, Inc.",120708422,Oakford,4,1490196.06,1365695.28,124500.78,462847,338346.22,124500.78,37350.69,31125.59,6225.1
"Wally's Enterprises, Inc.",170703997,Milledgeville,5,584444.76,529647.64,54797.12,193279,138481.73,54797.27,16439.31,13699.42,2739.89
"WALNUT STREET WINERY PLUS SAUNAS, INC.",150704178,Rochester,5,2831529.62,2605302.37,226227.25,910255,684027.85,226227.15,67868.71,56557.25,11311.46
Walsh's Inn Inc.,160700762,Monroe County,4,615163.76,561507.36,53656.4,167719,114062.65,53656.35,16097.15,13414.31,2682.84
WALTER GRAHAM UNIT N. 332 AMERICAN LEGION,120904136,Rockton,5,1926530.85,1774431.81,152099.04,646093,493993.96,152099.04,45630.19,38025.15,7605.04
"Walter Jones Post 2876, Veterans of Foreign Wars, Inc.",120909890,Villa Grove,5,1802364.19,1651627.94,150736.25,564062,413325.75,150736.25,45221.17,37684.31,7536.86
Walter R. Karstens,120706255,Moline,5,3909014.18,3587149.53,321864.65,1273555,951690.74,321864.26,96559.96,80466.65,16093.31
"Ware Brands, Inc. ",160702109,Pekin,5,5483301.96,4976083.56,507218.4,1624596,1117377.74,507218.26,152166.07,126805.06,25361.01
"Ware Brands, Inc. ",140700406,Tilton,5,11107652.13,10151061.47,956590.66,3593999,2637408.34,956590.66,286977.72,239148.14,47829.58
"Ware Brands, Inc. ",130705844,Jacksonville,5,10462009.87,9539733.16,922276.71,3142038,2219761.29,922276.71,276683.82,230569.82,46114
"Ware Brands, Inc. ",150700089,Decatur,5,9709713.75,8837387.96,872325.79,3120240,2247914.11,872325.89,261698.41,218082,43616.41
"Ware Brands, Inc.",170700778,Vandalia,5,1790540.37,1623693.84,166846.53,505248,338401.47,166846.53,50054.41,41712.01,8342.4
"Ware Brands, Inc. ",140702505,Galesburg,5,7940506.65,7205028.01,735478.64,2335902,1600423.36,735478.64,220644.25,183870.22,36774.03
"Ware Brands, Inc.",170702318,Pontiac,5,2682971.11,2441224.39,241746.72,871589,629842.28,241746.72,72524.85,60437.41,12087.44
Warner's MVP Lounge LLC,160702031,Sterling,5,1392289.61,1293316.1,98973.51,463459,364485.56,98973.44,29692.61,24743.84,4948.77
Warner's MVP Lounge LLC,170702006,Sterling,5,3016827.88,2766507.93,250319.95,979401,729081.05,250319.95,75096.4,62580.34,12516.06
Warner's MVP Lounge LLC,180701160,Whiteside County,5,284184.3,268868.29,15316.01,102491,87174.89,15316.11,4595.02,3829.18,765.84
"Warsaw Brewery, LLC",170701492,Warsaw,3,108621.79,95585.65,13036.14,28521,15479.79,13041.21,3912.4,3260.33,652.07
WASH N WINNIE'S OF AROMA PARK INC.,140703971,Aroma Park,5,3705315.06,3380508.78,324806.28,1163880,839073.67,324806.33,97442.49,81202.08,16240.41
WASH N WINNIE'S OF AROMA PARK INC.,170700607,University Park,5,3921578.32,3591290.47,330287.85,1266602,936214.35,330387.65,99116.68,82597.25,16519.43
"WASH N WINNIE'S OF MOMENCE, INC.",160702994,Watseka,5,5831182.73,5378340.62,452842.11,2022766,1569923.89,452842.11,135853.3,113211.09,22642.21
"WASH N WINNIE'S OF MOMENCE, INC.",140702884,Momence,5,5805240.08,5319854.43,485385.65,1721167,1235761.35,485405.65,145622.12,121351.8,24270.32
"Watch City Aerie No. 1047, Fraternal Order of Eagles",120805981,Gilberts,5,662276.62,593743.79,68532.83,192803,124270.17,68532.83,20560.27,17133.57,3426.7
"WATER STREET PUB, INC.",120706277,Peru,5,1162723.74,1071818.2,90905.54,391474,300568.32,90905.68,27272.32,22726.92,4545.4
"Water Street Pub, Inc.",160702821,Peru,5,1177237.98,1084483.55,92754.43,405747,312992.57,92754.43,27826.8,23189,4637.8
Waterfront Hotel & Marina LLC,150700023,Johnsburg,4,722896.5,661141.82,61754.68,265058,203303.32,61754.68,18526.8,15438.99,3087.81
"Waterfront Marine, Inc.",120709151,Burnham,5,3327321.7,3050276.81,277044.89,1090003,812958.11,277044.89,83113.98,69261.67,13852.31
"WATERLOO PIZZA, INC.",170702118,Waterloo,3,545499.65,509954.68,35544.97,126287,90735.88,35551.12,10665.72,8888.12,1777.6
"Waters Edge Partners, LLC - Channahon",160700002,Channahon,5,3104731.06,2880300.15,224430.91,871773,647342.09,224430.91,67329.79,56108.17,11221.62
Waterworks Pizzeria & Tavern INC.,120707751,Lyons,5,4743311.41,4338633.01,404678.4,1343389,938710.6,404678.4,121404.31,101170.26,20234.05
"WATERWORTH'S CORNER LIQUOR, INC.",160701568,Petersburg,5,3166040.57,2913044.64,252995.93,988193,735197.07,252995.93,75899.2,63249.35,12649.85
"WATSEKA LODGE, NO. 1791, OF THE BENEVOLENT AND PROTECTIVE ORDEROF ELKS OF THE UNITED STATES OF AMERICA",130803813,Watseka,4,893098.19,824039.02,69059.17,297099,228039.83,69059.17,20718,17264.99,3453.01
"Watty's, Inc.",170703347,Canton,4,1077175.88,995138.85,82037.03,291836,209798.93,82037.07,24611.49,20509.59,4101.9
"Wauconda American Legion Post 911, Inc.",120900245,Wauconda,5,4415669.07,4092121.37,323547.7,1101923,778375.33,323547.67,97064.91,80887.44,16177.47
"WAUCONDA BOWL, INC.",120710777,Wauconda,5,1860907.05,1708011.85,152895.2,600110,447214.8,152895.2,45869.18,38224.32,7644.86
Wauconda Moose Lodge #1969,120802282,Wauconda,5,1265593,1149504.15,116088.85,415103,299003.25,116099.75,34830.83,29025.72,5805.11
Waukegan Bally Muck Inc.,120707932,Waukegan,5,4794253.6,4396720.7,397532.9,1630906,1233372.81,397533.19,119260.44,99383.69,19876.75
Wayne & Patricia A. Bryant,120707935,Westville,5,3798716.71,3502520.51,296196.2,1185263,889066.8,296196.2,88859.43,74049.52,14809.91
"Wayne A. Schewe, Sr.",120703140,Joliet,4,1248856.12,1142003,106853.12,443395,336541.86,106853.14,32056.34,26713.64,5342.7
Wayne County Memorial Post 4535 VFW of the US Inc,120907731,Fairfield,5,3478678.66,3230408.05,248270.61,902360,654089.39,248270.61,74481.68,62068.07,12413.61
Wayne M. Krcmar,120700178,Port Barrington,5,2128009.11,1962794.47,165214.64,751206,585991.36,165214.64,49564.93,41304.14,8260.79
WAYNESVILLE LEGION POST #1189,160901853,Waynesville,3,585341.13,536093.77,49247.36,179925,130677.64,49247.36,14774.43,12312.03,2462.4
"Wayside Saloon, Inc.",160703830,Stephenson County,5,2103934.94,1907114.79,196820.15,699999,503178.85,196820.15,59046.65,49205.57,9841.08
WAYTOWN L.L.C.,120708136,Girard,5,1480129.79,1349955.95,130173.84,458667,328493.12,130173.88,39052.74,32543.99,6508.75
"WB's Pub-N-Grub, Inc.",130702017,Charleston,5,1936552.77,1779310.08,157242.69,611666,454423.31,157242.69,47173.09,39310.92,7862.17
"WB's Pub-N-Grub, Inc.",180701762,Charleston,4,99465.22,94164.35,5300.87,27750,22449.13,5300.87,1590.33,1325.28,265.05
"WC3 Playhouse, Inc.",160703479,Blandinsville,3,136370.7,125240.53,11130.17,45472,34341.53,11130.47,3339.31,2782.77,556.54
WD Entertainment Inc.,150700157,Richmond,2,72850.79,67033.94,5816.85,34497,28680.16,5816.84,1745.25,1454.38,290.87
"WE-B SALOON, INC.",140701331,Pittsfield,2,4927.85,4272.81,655.04,2518,1862.96,655.04,196.5,163.75,32.75
WEB  of Peoria Inc.,160703729,Peoria Heights,3,481742.66,449556.74,32185.92,179877,147691.08,32185.92,9655.86,8046.56,1609.3
"Wedding, Parties & Picnic, Inc.",130702499,Kane County,5,2870208.92,2649877.55,220331.37,966775,746443.45,220331.55,66100.04,55083.42,11016.62
"Wedron Office, Inc.",120701221,La Salle County,5,2717249.92,2517258.14,199991.78,976130,776126.57,200003.43,60001.66,50001.4,10000.26
Wee-Ma-Tuk Partners Inc.,150704002,Fulton County,3,275209.93,250276.93,24933,92628,67694.75,24933.25,7480.11,6233.43,1246.68
"WEEZY'S ROUTE 66, LLC",120705567,Hamel,2,476058.89,428939.98,47118.91,151940,104821.09,47118.91,14135.91,11779.93,2355.98
"Weihe Not Entertainment, INC.",170701242,New Minden,4,900971.63,807079.91,93891.72,333686,239794.28,93891.72,28167.99,23473.35,4694.64
"WEINHAUSE, LLC",160703093,Orion,3,1116339.74,1017907.55,98432.19,450454,352022.08,98431.92,29529.96,24608.31,4921.65
Weiseguys LLC,160703413,McHenry County,4,672673.18,607880.8,64792.38,242651,177858.62,64792.38,19438.01,16198.37,3239.64
"WEISHAAR ENTERPRISES, INC.",170703297,Spring Grove,5,838374.39,757454.43,80919.96,309721,228801.04,80919.96,24276.33,20230.28,4046.05
"Welcome Bar & Restaurant, Inc.",120708461,Milan,4,1239664.06,1150629.46,89034.6,330034,240999.4,89034.6,26711.03,22259.21,4451.82
"Welcome Matt Inn, Inc.",120706938,Hinckley,3,1277866.1,1167789.45,110076.65,354466,244389.28,110076.72,33023.43,27519.53,5503.9
"WENDELL'S DUGOUT LOUNGE, INC.",130704582,East Alton,2,317614.07,291226.22,26387.85,84062,57674.15,26387.85,7916.61,6597.18,1319.43
"Wendland's Marina, Inc.",130705200,Lake County,3,964194.74,896165.43,68029.31,342831,274801.69,68029.31,20409.2,17007.7,3401.5
Wendy Gould,120706043,Morrison,5,2387697.42,2199256.58,188440.84,696530,508089.16,188440.84,56532.93,47110.8,9422.13
West End 6950 Corp.,120708129,Oak Lawn,5,2194736.88,2033252.83,161484.05,691593,530108.79,161484.21,48446.07,40371.73,8074.34
"West Frankfort Bowl, Inc.",120701386,West Frankfort,3,1112850.13,1023354.57,89495.56,293251,203754.99,89496.01,26849.14,22374.28,4474.86
"West Frankfort Lodge No.795, Loyal Order of Moose",120805904,West Frankfort,5,1582504.59,1461985.41,120519.18,387146,266626.82,120519.18,36156.15,30130.11,6026.04
"West Lane Restaurant, L.L.C.",130700207,Machesney Park,5,2576098.36,2358200.9,217897.46,871102,653204.11,217897.89,65370.05,54475.06,10894.99
"West Morgan Depot, Inc.",120702083,Jacksonville,5,1751648.31,1597900.74,153747.57,611819,458071.38,153747.62,46124.98,38437.49,7687.49
"West Side Liquors, Inc.",120707519,Bloomington,5,2354168.82,2179905.5,174263.32,793823,619559.33,174263.67,52279.75,43566.47,8713.28
"West Springfield-Furla, Inc.",120706454,Champaign,5,8306768.73,7714497.19,592271.54,2890029,2297757.61,592271.39,177682.14,148068.49,29613.65
"West State Tavern, Inc.",120710386,Jacksonville,5,3211426.45,2961724.86,249701.59,1044783,795081.68,249701.32,74910.92,62425.78,12485.14
"Westcliff, Inc.",120711235,Lansing,5,5903543.37,5453703.89,449839.48,1970884,1520808.17,450075.83,135023.5,112519.6,22503.9
"WESTMONT UPTOWN, INC.",130700238,Westmont,5,5256145.33,4796715.83,459429.5,1694155,1234724.94,459430.06,137829.61,114858.01,22971.6
Westport 33 Inc.,130704363,Lawrence County,5,8404667.26,7749228.57,655438.69,2611954,1956507.55,655446.45,196634.74,163862.29,32772.45
"WESTSIDE LOUNGE, INC. ",120700785,Newton,4,2289596.34,2130183.76,159412.58,638255,478842.42,159412.58,47823.98,39853.32,7970.66
"Westville Hometown Parlor, Ltd.",170700809,Vermilion County,5,1665571.53,1521795.3,143776.23,551223,407446.77,143776.23,43133.56,35944.63,7188.93
"Westwoods Lodge of Sangamon County, Inc.",120709066,Springfield,5,3894445.85,3586373.87,308071.98,1241125,933052.75,308072.25,92422.32,77018.62,15403.7
"WFA, LLC",170701285,Galesburg,5,816214.91,740274.44,75940.47,279050,203109.53,75940.47,22782.46,18985.4,3797.06
Whalen-Hill American Legion Post 648,170902996,Jersey County,3,281123.35,261119.96,20003.39,83791,63787.56,20003.44,6001.16,5000.95,1000.21
"WHAT'S UP, INCORPORATED",130700541,Calumet City,3,441003.92,403315.23,37688.69,147868,110179.44,37688.56,11306.78,9422.34,1884.44
WHATNOT COLLECTIBLES LLC,160701079,Chatham,3,107347.3,93990.65,13356.65,40802,27445.35,13356.65,4007.11,3339.22,667.89
WHEATLAND MUSIC LLC,160702674,Wauconda,4,310614.25,289130.73,21483.52,99171,77687.48,21483.52,6445.22,5371.03,1074.19
"WHIRL WIND OF PEORIA, INC.",120700487,Peoria,3,640052.35,596216.25,43836.1,175321,131484.9,43836.1,13151.05,10959.22,2191.83
"WHISKERZ PUB, INC.",150701518,Lacon,4,1391421.91,1297047.62,94374.29,410368,315993.71,94374.29,28312.69,23593.91,4718.78
"Whiskey Barrel Saloon, LLC",140700643,Rock Falls,5,2558367.78,2352179.27,206188.51,857009,650795.83,206213.17,61864.68,51553.92,10310.76
"WHISKEY WATERS, INC.",180700777,Spring Grove,5,0,0,0,0,0,0,0,0,0
"WHISKEY WATERS, INC.",180700777,McHenry County,5,641837.32,587800.94,54036.38,203050,148999.67,54050.33,16215.26,13512.72,2702.54
"Whiskey's Roadhouse, Inc.",120700655,Rockford,5,5822568.82,5339025.29,483543.53,1928360,1444764.37,483595.63,145079.06,120899.23,24179.83
